title,responsibleOrganisation,publicationDate,category,descriptionFileName,specificationDocuments,documentation,charter,reports,presentations,dateOfRegistration,dateOfAcknowledgementByWorkingGroup,dateOfAcknowledgementBySteeringCommittee,datePublicReviewStart,datePublicReviewEnd,endOfPublicationDate,usage,status
Openbaar Domein 2.0.0 - Uitbreiding Terreindeel,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Uitbreiding Vegetatie,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Uitbreiding Waterdeel,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Openbaar Domein 2.0.0 - Uitbreiding Watervoorkomen,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
API guidelines,true,false,true,true,false,false,true,true,true,true,false,false,false,false,false,false,true
Conformiteitsraamwerk voor data standaarden,true,false,true,true,true,false,true,true,true,false,false,false,false,false,false,false,true
Applicatieprofiel metadata DCAT,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Vocabularium metadata DCAT,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
Vocabularia en Applicatieprofielen Bodem en Ondergrond,true,true,true,true,true,false,true,true,true,true,false,false,false,false,false,true,true
wegenenverkeer implementatiemodel AIM Object,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel ANPR en trajectcontrole,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Brandleiding,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Camerainstallatie,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Complexe datatypes,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
wegenenverkeer implementatiemodel Draagconstructies,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,true
