naam,rapport,verantwoordelijke_organisatie,identificator_organisatie,publicatiedatum,type_toepassing,categorie,beschrijving,specificatiedocument,documentatie,charter,verslagen,presentaties,functioneel_toepassingsgebied,organisatorisch_werkingsgebied,datum_van_aanmelding,erkenning_werkgroep_datastandaarden,erkenning_stuurgroep,datum_einde_review,organisatie,herroeping_stuurgroep,register,datum_van_review
Openbaar Domein 2.0.0 - Applicatieprofiel Waterdelen,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/production/report/doc/applicatieprofiel/waterdelen/erkendestandaard/2021-09-30/all-waterdelen-ap.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,30-09-2021,Aanbevolen (vrijwillig),Applicatieprofiel,ap-openbaar-domein.md,"[{""naam"":""Applicatieprofiel Waterdelen"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/waterdelen""}]",[],[],"[{""naam"":""Plenaire publieke werkgroepsessie 8 oktober 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag WG20191008.pdf""},{""naam"":""Diepte-overleg 5 december 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20191205.pdf""},{""naam"":""Diepte-overleg 20 februari 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20200220.pdf""}]","[{""naam"":""Presentatie Kennisdelingsmoment 2 juli 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie Kennisdelingsmoment 20200702.pdf""},{""naam"":""Webcast Kennisdelingsmoment 2 juli 2020"",""waarde"":""https://youtu.be/fjf2getDFBo""}]",Inventarisatie van objecten op het openbaar domein.,"Steden, gemeenten en alle entiteiten van de Vlaamse overheid", 20 november 2019,17 juni 2021,10 november 2021,undefined,undefined,undefined,undefined,undefined
Openbaar Domein 2.0.0 - Applicatieprofiel Watervoorkomen,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/production/report/doc/applicatieprofiel/watervoorkomen/erkendestandaard/2021-09-30/all-watervoorkomen-ap.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,30-09-2021,Aanbevolen (vrijwillig),Applicatieprofiel,ap-openbaar-domein.md,"[{""naam"":""Applicatieprofiel Watervoorkomen"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/watervoorkomen""}]",[],[],"[{""naam"":""Plenaire publieke werkgroepsessie 8 oktober 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag WG20191008.pdf""},{""naam"":""Diepte-overleg 5 december 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20191205.pdf""},{""naam"":""Diepte-overleg 20 februari 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20200220.pdf""}]","[{""naam"":""Presentatie Kennisdelingsmoment 2 juli 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie Kennisdelingsmoment 20200702.pdf""},{""naam"":""Webcast Kennisdelingsmoment 2 juli 2020"",""waarde"":""https://youtu.be/fjf2getDFBo""}]",Inventarisatie van objecten op het openbaar domein.,"Steden, gemeenten en alle entiteiten van de Vlaamse overheid", 20 november 2019,17 juni 2021,10 november 2021,undefined,undefined,undefined,undefined,undefined
Openbaar Domein 2.0.0,,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,30-09-2021,Aanbevolen (vrijwillig),Vocabularium & applicatieprofielen,openbaar-domein.md,"[{""naam"":""Vocabularium Conceptueel Gegevensmodel Openbaar Domein"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein""},{""naam"":""Uitbreiding Gebied"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/gebied""},{""naam"":""Uitbreiding Infrastructuur"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/infrastructuur""},{""naam"":""Uitbreiding Vegetatie"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/vegetatie""},{""naam"":""Uitbreiding Terreindeel"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/terreindeel""},{""naam"":""Uitbreiding Begroeid Voorkomen"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/begroeidvoorkomen""},{""naam"":""Uitbreiding Onbegroeid Voorkomen"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/onbegroeidvoorkomen""},{""naam"":""Uitbreiding Waterdeel"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/waterdeel""},{""naam"":""Uitbreiding Watervoorkomen"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/watervoorkomen""},{""naam"":""Uitbreiding Begraafplaats"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/begraafplaats""},{""naam"":""Basisprofiel Openbaar Domein"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/openbaar-domein""},{""naam"":""Applicatieprofiel Gebieden"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/gebieden""},{""naam"":""Applicatieprofiel Infrastructuurelementen"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/infrastructuurelementen""},{""naam"":""Applicatieprofiel Vegetatie-elementen"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/vegetatie-elementen""},{""naam"":""Applicatieprofiel Terreindelen"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/terreindelen""},{""naam"":""Applicatieprofiel Begroeid Voorkomen"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/begroeid-voorkomen""},{""naam"":""Applicatieprofiel Onbegroeid Voorkomen"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/onbegroeid-voorkomen""},{""naam"":""Applicatieprofiel Waterdelen"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/waterdelen""},{""naam"":""Applicatieprofiel Watervoorkomen"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/watervoorkomen""},{""naam"":""Applicatieprofiel Begraafplaatsen"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/begraafplaatsen""},{""naam"":""Applicatieprofiel Begraafplaatsenbeheer"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/begraafplaatsenbeheer""}]",[],[],"[{""naam"":""Plenaire publieke werkgroepsessie 8 oktober 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag WG20191008.pdf""},{""naam"":""Diepte-overleg 5 december 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20191205.pdf""},{""naam"":""Diepte-overleg 20 februari 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20200220.pdf""}]","[{""naam"":""Presentatie Kennisdelingsmoment 2 juli 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie Kennisdelingsmoment 20200702.pdf""},{""naam"":""Webcast Kennisdelingsmoment 2 juli 2020"",""waarde"":""https://youtu.be/fjf2getDFBo""}]",Inventarisatie van objecten op het openbaar domein.,"Steden, gemeenten en alle entiteiten van de Vlaamse overheid", 20 november 2019,17 juni 2021,10 november 2021,undefined,undefined,undefined,undefined,undefined
Openbaar Domein 2.0.0 - Uitbreiding Begraafplaats,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/production/report/doc/vocabularium/openbaardomein/begraafplaats/erkendestandaard/2021-09-30/all-begraafplaats-voc.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,30-09-2021,Aanbevolen (vrijwillig),Vocabularium,voc-openbaar-domein.md,"[{""naam"":""Uitbreiding Begraafplaats"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/begraafplaats""}]",[],[],"[{""naam"":""Plenaire publieke werkgroepsessie 8 oktober 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag WG20191008.pdf""},{""naam"":""Diepte-overleg 5 december 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20191205.pdf""},{""naam"":""Diepte-overleg 20 februari 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20200220.pdf""}]","[{""naam"":""Presentatie Kennisdelingsmoment 2 juli 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie Kennisdelingsmoment 20200702.pdf""},{""naam"":""Webcast Kennisdelingsmoment 2 juli 2020"",""waarde"":""https://youtu.be/fjf2getDFBo""}]",Inventarisatie van objecten op het openbaar domein.,"Steden, gemeenten en alle entiteiten van de Vlaamse overheid", 20 november 2019,17 juni 2021,10 november 2021,undefined,undefined,undefined,undefined,undefined
Openbaar Domein 2.0.0 - Uitbreiding Begroeid Voorkomen,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/production/report/doc/vocabularium/openbaardomein/begroeidvoorkomen/erkendestandaard/2021-09-30/all-begroeid-voorkomen-voc.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,30-09-2021,Aanbevolen (vrijwillig),Vocabularium,voc-openbaar-domein.md,"[{""naam"":""Uitbreiding Begroeid Voorkomen"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/begroeidvoorkomen""}]",[],[],"[{""naam"":""Plenaire publieke werkgroepsessie 8 oktober 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag WG20191008.pdf""},{""naam"":""Diepte-overleg 5 december 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20191205.pdf""},{""naam"":""Diepte-overleg 20 februari 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20200220.pdf""}]","[{""naam"":""Presentatie Kennisdelingsmoment 2 juli 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie Kennisdelingsmoment 20200702.pdf""},{""naam"":""Webcast Kennisdelingsmoment 2 juli 2020"",""waarde"":""https://youtu.be/fjf2getDFBo""}]",Inventarisatie van objecten op het openbaar domein.,"Steden, gemeenten en alle entiteiten van de Vlaamse overheid", 20 november 2019,17 juni 2021,10 november 2021,undefined,undefined,undefined,undefined,undefined
Openbaar Domein 2.0.0 - Uitbreiding Gebied,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/production/report/doc/vocabularium/openbaardomein/gebied/erkendestandaard/2021-09-30/all-gebied-voc.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,30-09-2021,Aanbevolen (vrijwillig),Vocabularium,voc-openbaar-domein.md,"[{""naam"":""Uitbreiding Gebied"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/gebied""}]",[],[],"[{""naam"":""Plenaire publieke werkgroepsessie 8 oktober 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag WG20191008.pdf""},{""naam"":""Diepte-overleg 5 december 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20191205.pdf""},{""naam"":""Diepte-overleg 20 februari 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20200220.pdf""}]","[{""naam"":""Presentatie Kennisdelingsmoment 2 juli 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie Kennisdelingsmoment 20200702.pdf""},{""naam"":""Webcast Kennisdelingsmoment 2 juli 2020"",""waarde"":""https://youtu.be/fjf2getDFBo""}]",Inventarisatie van objecten op het openbaar domein.,"Steden, gemeenten en alle entiteiten van de Vlaamse overheid", 20 november 2019,17 juni 2021,10 november 2021,undefined,undefined,undefined,undefined,undefined
Openbaar Domein 2.0.0 - Uitbreiding Infrastructuur,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/production/report/doc/vocabularium/openbaardomein/infrastructuur/erkendestandaard/2021-09-30/all-infrastructuur-voc.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,30-09-2021,Aanbevolen (vrijwillig),Vocabularium,voc-openbaar-domein.md,"[{""naam"":""Uitbreiding Infrastructuur"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/infrastructuur""}]",[],[],"[{""naam"":""Plenaire publieke werkgroepsessie 8 oktober 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag WG20191008.pdf""},{""naam"":""Diepte-overleg 5 december 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20191205.pdf""},{""naam"":""Diepte-overleg 20 februari 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20200220.pdf""}]","[{""naam"":""Presentatie Kennisdelingsmoment 2 juli 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie Kennisdelingsmoment 20200702.pdf""},{""naam"":""Webcast Kennisdelingsmoment 2 juli 2020"",""waarde"":""https://youtu.be/fjf2getDFBo""}]",Inventarisatie van objecten op het openbaar domein.,"Steden, gemeenten en alle entiteiten van de Vlaamse overheid", 20 november 2019,17 juni 2021,10 november 2021,undefined,undefined,undefined,undefined,undefined
Openbaar Domein 2.0.0 - Uitbreiding Onbegroeid Voorkomen,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/production/report/doc/vocabularium/openbaardomein/onbegroeidvoorkomen/erkendestandaard/2021-09-30/all-onbegroeid-voorkomen-voc.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,30-09-2021,Aanbevolen (vrijwillig),Vocabularium,voc-openbaar-domein.md,"[{""naam"":""Uitbreiding Onbegroeid Voorkomen"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/onbegroeidvoorkomen""}]",[],[],"[{""naam"":""Plenaire publieke werkgroepsessie 8 oktober 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag WG20191008.pdf""},{""naam"":""Diepte-overleg 5 december 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20191205.pdf""},{""naam"":""Diepte-overleg 20 februari 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20200220.pdf""}]","[{""naam"":""Presentatie Kennisdelingsmoment 2 juli 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie Kennisdelingsmoment 20200702.pdf""},{""naam"":""Webcast Kennisdelingsmoment 2 juli 2020"",""waarde"":""https://youtu.be/fjf2getDFBo""}]",Inventarisatie van objecten op het openbaar domein.,"Steden, gemeenten en alle entiteiten van de Vlaamse overheid", 20 november 2019,17 juni 2021,10 november 2021,undefined,undefined,undefined,undefined,undefined
Openbaar Domein 2.0.0 - Uitbreiding Terreindeel,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/production/report/doc/vocabularium/openbaardomein/terreindeel/erkendestandaard/2021-09-30/all-terreindeel-voc.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,30-09-2021,Aanbevolen (vrijwillig),Vocabularium,voc-openbaar-domein.md,"[{""naam"":""Uitbreiding Terreindeel"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/terreindeel""}]",[],[],"[{""naam"":""Plenaire publieke werkgroepsessie 8 oktober 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag WG20191008.pdf""},{""naam"":""Diepte-overleg 5 december 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20191205.pdf""},{""naam"":""Diepte-overleg 20 februari 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20200220.pdf""}]","[{""naam"":""Presentatie Kennisdelingsmoment 2 juli 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie Kennisdelingsmoment 20200702.pdf""},{""naam"":""Webcast Kennisdelingsmoment 2 juli 2020"",""waarde"":""https://youtu.be/fjf2getDFBo""}]",Inventarisatie van objecten op het openbaar domein.,"Steden, gemeenten en alle entiteiten van de Vlaamse overheid", 20 november 2019,17 juni 2021,10 november 2021,undefined,undefined,undefined,undefined,undefined
Openbaar Domein 2.0.0 - Uitbreiding Vegetatie,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/production/report/doc/vocabularium/openbaardomein/vegetatie/erkendestandaard/2021-09-30/all-vegetatie-voc.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,30-09-2021,Aanbevolen (vrijwillig),Vocabularium,voc-openbaar-domein.md,"[{""naam"":""Uitbreiding Vegetatie"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/vegetatie""}]",[],[],"[{""naam"":""Plenaire publieke werkgroepsessie 8 oktober 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag WG20191008.pdf""},{""naam"":""Diepte-overleg 5 december 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20191205.pdf""},{""naam"":""Diepte-overleg 20 februari 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20200220.pdf""}]","[{""naam"":""Presentatie Kennisdelingsmoment 2 juli 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie Kennisdelingsmoment 20200702.pdf""},{""naam"":""Webcast Kennisdelingsmoment 2 juli 2020"",""waarde"":""https://youtu.be/fjf2getDFBo""}]",Inventarisatie van objecten op het openbaar domein.,"Steden, gemeenten en alle entiteiten van de Vlaamse overheid", 20 november 2019,17 juni 2021,10 november 2021,undefined,undefined,undefined,undefined,undefined
Openbaar Domein 2.0.0 - Uitbreiding Waterdeel,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/production/report/doc/vocabularium/openbaardomein/waterdeel/erkendestandaard/2021-09-30/all-waterdeel-voc.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,30-09-2021,Aanbevolen (vrijwillig),Vocabularium,voc-openbaar-domein.md,"[{""naam"":""Uitbreiding Waterdeel"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/waterdeel""}]",[],[],"[{""naam"":""Plenaire publieke werkgroepsessie 8 oktober 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag WG20191008.pdf""},{""naam"":""Diepte-overleg 5 december 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20191205.pdf""},{""naam"":""Diepte-overleg 20 februari 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20200220.pdf""}]","[{""naam"":""Presentatie Kennisdelingsmoment 2 juli 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie Kennisdelingsmoment 20200702.pdf""},{""naam"":""Webcast Kennisdelingsmoment 2 juli 2020"",""waarde"":""https://youtu.be/fjf2getDFBo""}]",Inventarisatie van objecten op het openbaar domein.,"Steden, gemeenten en alle entiteiten van de Vlaamse overheid", 20 november 2019,17 juni 2021,10 november 2021,undefined,undefined,undefined,undefined,undefined
Openbaar Domein 2.0.0 - Uitbreiding Watervoorkomen,https://raw.githubusercontent.com/Informatievlaanderen/OSLO-Generated/production/report/doc/vocabularium/openbaardomein/watervoorkomen/erkendestandaard/2021-09-30/all-watervoorkomen-voc.jsonld,Agentschap Digitaal Vlaanderen,https://data.vlaanderen.be/id/organisatie/OVO002949,30-09-2021,Aanbevolen (vrijwillig),Vocabularium,voc-openbaar-domein.md,"[{""naam"":""Uitbreiding Watervoorkomen"",""waarde"":""https://data.vlaanderen.be/doc/vocabularium/openbaardomein/watervoorkomen""}]",[],[],"[{""naam"":""Plenaire publieke werkgroepsessie 8 oktober 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag WG20191008.pdf""},{""naam"":""Diepte-overleg 5 december 2019"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20191205.pdf""},{""naam"":""Diepte-overleg 20 februari 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie + verslag DO20200220.pdf""}]","[{""naam"":""Presentatie Kennisdelingsmoment 2 juli 2020"",""waarde"":""OSLO Openbaar Domein - Presentatie Kennisdelingsmoment 20200702.pdf""},{""naam"":""Webcast Kennisdelingsmoment 2 juli 2020"",""waarde"":""https://youtu.be/fjf2getDFBo""}]",Inventarisatie van objecten op het openbaar domein.,"Steden, gemeenten en alle entiteiten van de Vlaamse overheid", 20 november 2019,17 juni 2021,10 november 2021,undefined,undefined,undefined,undefined,undefined
API guidelines,,Agentschap Digitaal Vlaanderen,http://data.vlaanderen.be/id/organisatie/OVO002949,TBD,TBD,Technische standaard,api-guidelines.md,[],[],[],"[{""naam"":""Thematische Werkgroep API guidelines 1 - 2020-02-18"",""waarde"":""OSLO API Guidelines - Workshop 1 18_02_20 - Verslag.pdf""},{""naam"":""Thematische Werkgroep API guidelines 2 - 2020-03-19"",""waarde"":""OSLO API Guidelines - Workshop 2 19_03_20 - Verslag.docx""}]","[{""naam"":""Presentatie thematische werkgroep 1 - 18 februari 2020"",""waarde"":""18022020 - API guidelines WS1.pptx""},{""naam"":""Presentatie thematische werkgroep 2 - 19 maart 2020"",""waarde"":""19032020 - API guidelines WS2.pptx""},{""naam"":""Presentatie thematische werkgroep 3 (herhaling sessie 1, online) - 9 juni 2020"",""waarde"":""09062020 - API guidelines WS3.pptx""}]",Richtlijnen rond het ontwikkelen van API's.,Alle entiteiten van de Vlaamse overheid,TDB,TBD,TBD,undefined,undefined,undefined,undefined,undefined
Conformiteitsraamwerk voor data standaarden,,Agentschap Digitaal Vlaanderen,http://data.vlaanderen.be/id/organisatie/OVO002949,TBD,TBD,Standaard voor technische interoperabiliteit,conformiteitsraamwerk.md,"[{""naam"":""Draft conformiteitsraamwerk"",""waarde"":""OSLO Conformiteitsraamwerk v1.00_DRAFT.pdf""}]",[],[],"[{""naam"":""Verslag workshop - 30 november 2020"",""waarde"":""Verslag werkgroep OSLO conformiteit.pdf""}]","[{""naam"":""Presentatie workshop - 30 november 2020"",""waarde"":""20201130 Workshop conformiteitsraamwerk.pdf""}]",Conformiteitsraamwerk voor data standaarden in Vlaanderen,Alle entiteiten van de Vlaamse overheid,TBD,TBD,TBD,undefined,undefined,undefined,https://overheid.vlaanderen.be/opleiding/publieke-werkgroepen-oslo-metadatastandaard-voor-services,undefined
Applicatieprofiel metadata DCAT,https://github.com/Informatievlaanderen/OSLO-Generated/raw/test/report/doc/applicatieprofiel/metadata-dcat/kandidaatstandaard/2021-03-23/all-metadata-voor-services-ap.jsonld,Agentschap Digitaal Vlaanderen,http://data.vlaanderen.be/id/organisatie/OVO002949,2021-04-22,aanbevolen (vrijwillig),Applicatieprofiel,metadata.md,"[{""naam"":""Applicatieprofiel metadata DCAT"",""waarde"":""https://data.vlaanderen.be/doc/applicatieprofiel/metadata-dcat/""}]",[],"[{""naam"":""Charter"",""waarde"":""Werkgroep charter OSLO metadatastandaard voor services.pdf""}]","[{""waarde"":""20200903 - OSLO Metadata voor services - Business Werkgroep - Verslag.pdf"",""naam"":""Verslag business werkgroep - 3 september 2020""},{""waarde"":""20200922 - OSLO Metadata voor services - Thematische werkgroep 1 - Verslag.pdf"",""naam"":""Verslag thematische werkgroep 1 - 22 september 2020""},{""waarde"":""Verwerking thematische werkgroep 1.pdf"",""naam"":""Verwerking thematische werkgroep 1""},{""waarde"":""20201013 - OSLO Metadata voor services - Thematische werkgroep 2 - Verslag.pdf"",""naam"":""Verslag thematische werkgroep 2 - 13 oktober 2020""},{""waarde"":""Verwerking thematische werkgroep 2.pdf"",""naam"":""Verwerking thematische werkgroep 2""},{""waarde"":""20201110 - OSLO Metadata voor services - Thematische werkgroep 3 - Verslag.pdf"",""naam"":""Verslag thematische werkgroep 3 - 10 november 2020""},{""waarde"":""20201207 - OSLO Metadata voor services - Plenaire sessie - Verslag.pdf"",""naam"":""Verslag plenaire sessie - 7 december 2020""}]","[{""waarde"":""20200903 - OSLO Metadata voor services - Business Werkgroep - Presentatie.pdf"",""naam"":""Presentatie business werkgroep - 3 september 2020<""},{""waarde"":""20200922 - OSLO Metadata voor services - Thematische Werkgroep 1 - Presentatie.pdf"",""naam"":""Presentatie thematische werkgroep 1 - 22 september 2020""},{""waarde"":""20201013 - OSLO Metadata voor services - Thematische Werkgroep 2 - Presentatie.pdf"",""naam"":""Presentatie thematische werkgroep 2 - 13 oktober 2020""},{""waarde"":""20201110 - OSLO Metadata voor services - Thematische Werkgroep 3 - Presentatie.pdf"",""naam"":""Presentatie thematische werkgroep 3 - 10 november 2020""},{""waarde"":""20201207 - OSLO Metadata voor services - Plenaire sessie - Presentatie.pdf"",""naam"":""Presentatie plenaire sessie - 7 december 2020""},{""waarde"":""OSLO_MetadataDCAT_WG_Datastandaarden_20210311.pdf"",""naam"":""Presentatie WG datastandaarden - 11 maart 2021""}]",Semantische standaard voor metadata van catalogi van datasets en data services,Alle entiteiten van de Vlaamse overheid,2020-07-20,2021-03-11,2021-04-22,undefined,undefined,undefined,https://overheid.vlaanderen.be/opleiding/publieke-werkgroepen-oslo-metadatastandaard-voor-services,van 2020-12-14 tot 2021-02-12
Vocabularium metadata DCAT,https://github.com/Informatievlaanderen/OSLO-Generated/raw/test/report/doc/vocabularium/metadata-dcat/kandidaatstandaard/2021-03-23/all-metadata-dcat.jsonld,Agentschap Digitaal Vlaanderen,http://data.vlaanderen.be/id/organisatie/OVO002949,2021-04-22,aanbevolen (vrijwillig),Vocabularium,metadata.md,"[{""naam"":""Vocabularium metadata DCAT"",""waarde"":""https://data.vlaanderen.be/ns/metadata-dcat/""}]",[],"[{""naam"":""Charter"",""waarde"":""Werkgroep charter OSLO metadatastandaard voor services.pdf""}]","[{""waarde"":""20200903 - OSLO Metadata voor services - Business Werkgroep - Verslag.pdf"",""naam"":""Verslag business werkgroep - 3 september 2020""},{""waarde"":""20200922 - OSLO Metadata voor services - Thematische werkgroep 1 - Verslag.pdf"",""naam"":""Verslag thematische werkgroep 1 - 22 september 2020""},{""waarde"":""Verwerking thematische werkgroep 1.pdf"",""naam"":""Verwerking thematische werkgroep 1""},{""waarde"":""20201013 - OSLO Metadata voor services - Thematische werkgroep 2 - Verslag.pdf"",""naam"":""Verslag thematische werkgroep 2 - 13 oktober 2020""},{""waarde"":""Verwerking thematische werkgroep 2.pdf"",""naam"":""Verwerking thematische werkgroep 2""},{""waarde"":""20201110 - OSLO Metadata voor services - Thematische werkgroep 3 - Verslag.pdf"",""naam"":""Verslag thematische werkgroep 3 - 10 november 2020""},{""waarde"":""20201207 - OSLO Metadata voor services - Plenaire sessie - Verslag.pdf"",""naam"":""Verslag plenaire sessie - 7 december 2020""}]","[{""waarde"":""20200903 - OSLO Metadata voor services - Business Werkgroep - Presentatie.pdf"",""naam"":""Presentatie business werkgroep - 3 september 2020<""},{""waarde"":""20200922 - OSLO Metadata voor services - Thematische Werkgroep 1 - Presentatie.pdf"",""naam"":""Presentatie thematische werkgroep 1 - 22 september 2020""},{""waarde"":""20201013 - OSLO Metadata voor services - Thematische Werkgroep 2 - Presentatie.pdf"",""naam"":""Presentatie thematische werkgroep 2 - 13 oktober 2020""},{""waarde"":""20201110 - OSLO Metadata voor services - Thematische Werkgroep 3 - Presentatie.pdf"",""naam"":""Presentatie thematische werkgroep 3 - 10 november 2020""},{""waarde"":""20201207 - OSLO Metadata voor services - Plenaire sessie - Presentatie.pdf"",""naam"":""Presentatie plenaire sessie - 7 december 2020""},{""waarde"":""OSLO_MetadataDCAT_WG_Datastandaarden_20210311.pdf"",""naam"":""Presentatie WG datastandaarden - 11 maart 2021""}]",Semantische standaard voor metadata van catalogi van datasets en data services,Alle entiteiten van de Vlaamse overheid,2021-07-20,2021-03-11,2021-04-22,undefined,undefined,undefined,https://overheid.vlaanderen.be/opleiding/publieke-werkgroepen-oslo-metadatastandaard-voor-services,van 2020-12-14 tot 2021-02-12
